1:1	사무엘상 27:5-6
12:9	출애굽기 20:13, 출애굽기 20:14, 출애굽기 20:17, 사무엘하 11:15, 사무엘하 11:27
12:10	민수기 14:18, 사무엘하 13:32, 사무엘하 18:33, 갈라디아서 6:7
12:11	사무엘하 12:15, 사무엘하 12:19, 사무엘하 13:10-15, 사무엘하 15:14, 출애굽기 21:24, 욥기 31:9-11, 욥기 34:11, 사무엘하 16:21-22
12:12	사무엘하 11:4, 사무엘하 11:15
12:13	창세기 39:9, 시편 32:5, 시편 38:3, 시편 51:0, 시편 51:4, 잠언 28:13, 출애굽기 34:6, 시편 32:1, 레위기 20:10, 시편 103:10
12:16	사무엘하 12:22, 요나 3:8-9
12:20	룻기 3:3, 사무엘하 14:2, 사무엘하 6:17
12:22	사무엘하 12:16, 요엘 1:14, 이사야 38:3, 이사야 38:5, 요엘 2:13-14, 아모스 5:15, 요나 3:8-9
12:23	전도서 9:6, 욥기 30:23, 전도서 3:20, 사도행전 2:29, 사도행전 2:34, 사도행전 13:36, 전도서 9:5, 전도서 9:10
12:24	사무엘하 11:3, 역대기상 3:5, 역대기상 3:9, 역대기상 22:9, 역대기상 28:5, 마태복음 1:6, 사무엘하 7:12, 역대기상 29:1
12:25	사무엘하 7:4-5, 사무엘하 12:1, 열왕기상 1:8
12:26	신명기 23:3, 신명기 23:6, 신명기 3:11, 여호수아 13:24-25, 사무엘하 11:25, 역대기상 20:1
12:27	사무엘하 11:1
12:30	사무엘하 8:11-12, 역대기상 20:2-3
13:1	역대기상 3:9, 사무엘하 3:2
13:3	사무엘하 13:35, 사무엘상 16:9, 역대기상 2:13
13:4	레위기 18:9, 레위기 20:17
13:12	레위기 18:9, 레위기 18:29, 레위기 20:17, 신명기 27:22, 창세기 34:2, 창세기 34:7, 사사기 20:5-6
13:19	여호수아 7:6, 에스더 4:1, 예레미야 6:26
13:20	사무엘하 3:3, 사무엘하 13:1, 레위기 18:9, 신명기 27:22
13:21	잠언 19:13
13:22	창세기 34:7, 잠언 18:19
13:23	요한복음 11:54, 열왕기상 1:9, 열왕기상 1:19
13:26	시편 55:21, 잠언 10:18, 잠언 26:24-26
13:32	사무엘상 16:9, 역대기상 2:13, 사무엘하 13:3, 사무엘하 12:10, 레위기 18:9, 레위기 18:29, 사무엘하 13:12-14, 창세기 27:41, 시편 7:14, 잠언 18:19
13:34	사무엘하 13:38
13:35	사무엘하 13:3
13:37	사무엘하 3:3
13:38	신명기 3:14, 여호수아 12:4-5, 사무엘하 14:23
14:1	사무엘하 2:18, 역대기상 2:15-16, 사무엘하 13:39, 사무엘하 18:33, 사무엘하 19:2
14:2	역대기하 11:5-6, 역대기하 20:20, 아모스 1:1, 전도서 9:8, 다니엘 10:3
14:7	민수기 35:19, 신명기 19:11-12
14:11	민수기 35:19, 민수기 35:27, 신명기 19:6, 신명기 6:13, 전도서 8:4
14:13	출애굽기 19:5, 민수기 6:27, 사무엘하 13:38
14:16	사무엘하 14:2, 사무엘하 14:7
14:19	사무엘하 14:1-3
14:21	사무엘하 14:13, 사무엘하 13:38
14:23	신명기 3:14, 사무엘하 3:3, 사무엘하 13:37
14:27	사무엘하 18:18
14:28	사무엘하 14:24
14:32	사무엘하 14:23
14:33	창세기 45:15
15:1	사무엘상 8:11, 열왕기상 1:5, 잠언 11:2
15:2	신명기 25:7, 룻기 4:1, 사무엘상 8:20, 사무엘하 8:15
15:5	시편 10:9, 시편 55:21, 잠언 26:25
15:6	잠언 11:9
15:7	사무엘하 3:2
15:8	사무엘하 13:38, 사무엘하 14:23, 레위기 22:21
15:10	사무엘하 2:1, 사무엘하 5:1, 사무엘하 5:5, 역대기상 3:4
15:12	사무엘하 16:23, 사무엘하 17:14, 사무엘하 23:8, 사무엘하 23:34, 여호수아 15:20, 여호수아 15:51, 시편 41:9, 시편 55:12-13, 요한복음 13:18, 시편 3:1, 잠언 24:21
15:14	사무엘하 19:9, 시편 3:0, 사무엘하 12:11
15:15	잠언 18:24
15:16	사무엘하 12:11, 사무엘하 16:21, 사무엘하 20:3
15:18	사무엘하 8:18, 사무엘하 20:7, 열왕기상 1:38, 역대기상 18:17, 사무엘상 27:4, 역대기상 18:1, 여호수아 13:2-3
15:19	사무엘하 18:2
15:20	사무엘하 2:5-6, 시편 25:10, 시편 57:3, 시편 61:7, 시편 89:14
15:21	잠언 17:17, 잠언 18:24
15:22	사무엘하 18:2
15:23	열왕기상 2:36-37, 역대기하 30:14, 요한복음 18:1
