22:14	누가복음 22:44, 요한복음 12:27, 마태복음 26:38, 마가복음 14:33
22:15	잠언 17:22, 요한복음 19:28, 이사야 53:12, 고린도 전서 15:3-4
22:16	시편 59:5-6, 누가복음 22:63, 시편 86:14, 마태복음 27:35, 요한복음 20:25
22:17	시편 34:20, 요한복음 19:36
22:18	마가복음 15:24, 누가복음 23:34, 요한복음 19:23-24
22:19	시편 10:1, 시편 40:13
22:20	시편 22:16
22:21	시편 35:17
22:22	요한복음 17:6, 시편 40:9, 히브리서 2:11-12
22:23	시편 50:23
22:24	시편 34:6, 시편 69:33, 민수기 6:25, 히브리서 5:7
22:25	시편 35:18, 시편 40:10, 시편 111:1
22:26	시편 37:11, 이사야 65:13, 스바냐 2:3
22:27	창세기 22:18, 요한 계시록 7:9, 요한 계시록 15:4
22:28	역대기상 29:11, 요한 계시록 11:17
23:1	시편 80:1, 예레미야 23:3, 에스겔 34:12, 베드로 전서 2:25, 시편 34:9, 시편 84:11, 마태복음 6:33, 빌립보서 4:19, 히브리서 13:5
23:2	에스겔 34:13-14
23:3	시편 19:7, 시편 51:12, 시편 31:3
23:4	욥기 38:17, 시편 3:6, 시편 27:1, 이사야 41:10, 이사야 43:2, 로마서 8:31
23:5	시편 22:26, 시편 31:19, 누가복음 7:46, 야고보서 5:14, 시편 16:5
23:6	시편 103:17, 시편 15:1-5, 시편 27:4, 시편 65:4, 시편 122:1
24:1	역대기상 29:11, 욥기 41:11, 고린도 전서 10:26
24:2	창세기 1:9, 욥기 38:11, 시편 136:6, 예레미야 5:22
24:3	시편 15:1-5
24:4	사무엘하 22:21, 이사야 33:15-16, 마태복음 5:8, 시편 34:12-13, 말라기 3:5
24:5	시편 128:1-5, 이사야 12:2
24:7	시편 118:19, 시편 122:2, 사무엘하 6:15, 시편 48:1-3
24:8	시편 93:1, 출애굽기 15:3, 사무엘상 17:47, 역대기하 20:15, 이사야 42:13
24:9	시편 118:19
24:10	역대기상 29:11
25:2	이사야 26:3, 로마서 10:11, 시편 41:11
25:3	시편 69:6, 시편 31:17
25:4	출애굽기 33:13, 시편 86:11, 시편 143:8, 시편 27:11
25:5	시편 43:3
25:6	시편 103:17, 시편 136:1, 출애굽기 34:6, 이사야 55:3
25:7	출애굽기 33:19, 시편 27:13, 시편 6:4, 시편 51:1
25:8	시편 92:15, 시편 119:68, 시편 145:9, 사도행전 14:17, 시편 119:33, 이사야 30:20, 미가 4:2
25:9	스바냐 2:3, 시편 32:8
25:10	신명기 29:1, 시편 19:7
25:11	시편 31:3, 시편 79:9, 시편 109:21, 시편 143:11, 에스겔 36:22, 다니엘 9:19, 마태복음 6:9
25:12	시편 111:10, 시편 37:23
25:13	시편 31:19, 시편 37:11
25:14	잠언 3:32, 요한복음 15:15, 창세기 18:17, 창세기 22:17, 아모스 3:7
25:15	시편 141:8, 시편 91:3, 시편 124:6-8
25:17	시편 73:21
25:18	사무엘하 16:12, 시편 32:5, 시편 51:9
25:20	시편 17:8, 시편 121:7
25:21	시편 37:34, 시편 41:12
26:1	열왕기하 20:3, 시편 21:7
26:2	시편 17:3, 시편 66:10
26:3	시편 43:3, 시편 86:11
26:4	예레미야 15:17
26:5	시편 139:21, 시편 1:1
26:7	시편 50:23, 시편 95:2
26:8	사무엘상 3:3, 역대기상 16:1, 시편 27:4, 시편 63:2
26:9	사무엘상 25:29
26:12	사무엘상 2:9, 잠언 10:9, 시편 111:1
