11:26	열왕기상 11:31, 열왕기상 12:32, 열왕기상 14:10, 역대기하 11:14, 역대기하 13:3, 역대기하 13:20, 열왕기상 9:22, 역대기하 13:6
11:27	열왕기상 9:15, 열왕기상 9:24, 사무엘하 5:7
11:28	열왕기상 5:16
11:29	열왕기상 12:15, 열왕기상 14:2, 역대기하 9:29
11:31	열왕기상 12:16
11:32	창세기 49:10, 신명기 12:5-6, 열왕기상 11:13, 시편 132:13, 열왕기상 12:20, 역대기하 11:1
11:33	신명기 28:15, 역대기하 15:2
11:34	열왕기상 9:4-5, 시편 89:49, 시편 132:17, 이사야 9:7
11:35	열왕기상 12:20, 역대기하 10:16
11:36	사무엘하 7:29, 열왕기상 15:4, 열왕기하 8:19
11:38	열왕기상 15:5, 사무엘하 7:11
11:39	열왕기상 12:16, 창세기 49:10, 이사야 11:1, 누가복음 1:32-33
11:40	열왕기상 14:25, 역대기하 10:2
11:41	역대기하 9:29-31
11:43	역대기상 3:10, 역대기하 13:7, 마태복음 1:7
12:1	창세기 12:6, 여호수아 20:7, 여호수아 20:9, 사사기 9:1-2, 사도행전 7:15-16, 역대기하 10:1-4
12:2	열왕기상 11:26, 열왕기상 11:40
12:4	사무엘상 8:11-18, 열왕기상 4:7
12:5	역대기하 10:5-7
12:8	역대기하 10:8-11
12:12	역대기하 10:12-15
12:15	신명기 2:30, 역대기하 22:7, 로마서 9:18, 열왕기상 11:31
12:16	역대기하 10:16-17
12:17	열왕기상 11:12-13, 역대기하 11:13, 역대기하 11:16
12:18	사무엘하 20:24, 열왕기상 4:6, 열왕기상 5:13-14, 역대기하 10:18-19
12:19	열왕기하 17:21
12:20	열왕기상 11:30-31, 열왕기상 11:12-13, 호세아 11:12
12:21	역대기하 11:1-4, 역대기하 25:5
12:22	역대기하 12:5
12:24	열왕기상 11:30-31
12:25	열왕기상 12:1, 창세기 32:30, 사사기 8:13, 사사기 8:17
12:26	열왕기상 11:38
12:27	신명기 12:5-6
12:28	출애굽기 20:4, 열왕기하 10:29, 출애굽기 32:4, 출애굽기 32:8, 역대기하 11:15-16
12:29	창세기 12:8-9, 창세기 28:19, 창세기 14:14, 신명기 34:1, 사사기 18:29, 사사기 20:1
12:30	열왕기하 10:31, 열왕기하 17:21-23
12:31	민수기 3:10, 열왕기상 13:33, 역대기하 11:14, 역대기하 13:9
12:32	레위기 23:34, 아모스 7:13
13:1	열왕기상 12:32, 아모스 3:14, 열왕기하 23:16-17
13:2	열왕기하 21:24, 열왕기하 22:1, 열왕기하 23:15-16, 역대기하 34:33
13:4	역대기하 16:10, 예레미야 20:2, 열왕기하 6:18
13:6	출애굽기 10:16-17, 민수기 21:7, 예레미야 37:3, 사도행전 8:24
13:14	열왕기상 13:1
13:22	열왕기상 13:30, 열왕기하 23:17-18
13:24	사무엘하 6:7, 열왕기상 20:35-36, 열왕기하 17:25
13:26	열왕기상 13:9, 열왕기상 13:21-22
13:31	열왕기하 23:17-18
13:32	레위기 26:30, 열왕기상 12:29, 열왕기상 12:31, 열왕기하 23:15, 열왕기하 23:19
13:33	열왕기상 12:25, 열왕기상 12:31, 역대기하 11:14-15
13:34	열왕기상 16:30-31, 열왕기하 3:1, 열왕기하 3:3, 열왕기하 10:31, 열왕기하 13:1-2, 열왕기상 14:10, 열왕기상 15:25-29, 열왕기하 17:22-23
14:2	열왕기상 11:30-31
14:4	여호수아 18:1, 사무엘상 4:3
14:7	열왕기상 11:30-31, 열왕기상 12:20
14:8	열왕기상 12:16, 열왕기상 15:5, 사도행전 13:22
14:9	신명기 27:15, 역대기하 11:15, 느헤미야 9:26, 시편 50:17
14:10	열왕기상 15:25-29
14:14	열왕기상 15:25-29
14:15	신명기 8:7-9, 신명기 29:28, 여호수아 23:15, 열왕기하 17:6, 신명기 28:64, 열왕기하 15:29, 열왕기하 18:11, 신명기 12:3
14:16	열왕기상 12:28-30, 열왕기상 13:33-34
14:19	역대기하 12:15, 역대기하 13:3
14:20	역대기하 13:20, 열왕기상 15:25
14:21	출애굽기 20:24, 신명기 12:5-6, 열왕기상 8:16-17, 시편 78:68, 시편 132:13, 열왕기상 11:1, 역대기하 12:13
14:22	열왕기상 11:7, 역대기하 12:1, 이사야 65:2
14:23	이사야 65:7, 신명기 12:2-3, 이사야 57:5, 예레미야 2:20, 호세아 4:13, 레위기 26:1
