1:1	누가복음 1:3, 누가복음 3:23
15:9	갈라디아서 3:28, 갈라디아서 2:15-16, 베드로 전서 1:22
15:10	갈라디아서 3:10, 갈라디아서 5:1
15:11	이사야 53:11, 요한복음 1:17, 로마서 3:23-24, 로마서 5:17, 마태복음 20:28
15:13	사도행전 12:17, 갈라디아서 1:19, 사도행전 12:17
15:14	사도행전 10:34-35, 베드로 전서 2:9-10, 마태복음 10:2, 사도행전 11:13, 베드로 후서 1:1
15:17	아모스 9:11-12
15:18	이사야 45:21, 이사야 48:3, 아모스 3:7
15:19	사도행전 15:10
15:20	창세기 35:2, 출애굽기 20:3, 고린도 전서 10:14, 고린도 전서 6:9-10, 골로새서 3:5, 데살로니가 전서 4:3, 창세기 9:4, 레위기 3:17, 레위기 7:26, 레위기 17:10, 레위기 17:13, 레위기 19:26, 신명기 12:23, 신명기 15:23, 사무엘상 14:32-33
15:21	사도행전 13:15, 고린도 후서 3:15
15:22	데살로니가 전서 1:1, 베드로 전서 5:12
15:23	사도행전 11:26
15:24	사도행전 15:1, 갈라디아서 2:4, 디도서 1:10
15:26	사도행전 13:50, 고린도 전서 15:30-31, 고린도 후서 11:23-26
15:27	사도행전 16:4
15:28	요한복음 16:13, 사도행전 5:32
15:29	창세기 35:2, 출애굽기 20:3, 출애굽기 34:15, 고린도 전서 10:14, 창세기 9:4, 레위기 3:17, 레위기 7:26, 레위기 17:10, 신명기 12:16, 신명기 12:23, 사무엘상 14:32-33, 레위기 17:13, 창세기 39:7-9, 고린도 전서 6:9-10, 에베소서 5:5, 골로새서 3:5, 데살로니가 전서 4:3
15:32	사도행전 18:23
15:36	고린도 후서 11:28
15:37	사도행전 13:4-5, 골로새서 4:10, 디모데 후서 4:11
15:38	사도행전 13:13
15:39	사도행전 4:36-37
15:40	사도행전 14:26
16:1	사도행전 14:5-7, 디모데 후서 3:11, 사도행전 19:22, 로마서 16:21, 고린도 전서 4:17, 데살로니가 전서 3:2, 디모데 전서 1:2
16:2	디모데 전서 3:7
16:3	고린도 전서 9:20
16:4	사도행전 15:28-29
16:6	사도행전 18:23
16:7	베드로 전서 1:1
16:12	빌립보서 1:1
16:14	요한 계시록 1:11, 누가복음 24:45, 고린도 전서 3:7
16:15	사도행전 16:33, 사도행전 18:8
16:16	레위기 19:31, 레위기 20:6
16:17	마가복음 1:23-24, 누가복음 4:41
16:18	마태복음 17:18, 마가복음 1:25-26, 마가복음 1:34, 누가복음 9:1, 누가복음 10:17
16:19	사도행전 19:24-25, 마태복음 10:18
16:20	사도행전 17:6
16:21	에스더 3:8, 사도행전 17:7
16:22	데살로니가 전서 2:2
16:23	고린도 후서 6:4-5, 고린도 후서 11:23, 누가복음 21:12
16:25	에베소서 5:19, 골로새서 3:16, 야고보서 5:13
16:26	사도행전 5:18-20, 사도행전 12:7
16:27	사도행전 12:18-19
16:31	요한복음 3:16, 요한복음 6:47
16:33	사도행전 8:12
16:37	사도행전 22:25, 사도행전 23:27
16:38	사도행전 22:27-29
16:40	사도행전 16:14, 고린도 후서 1:3-4
17:1	데살로니가 전서 2:1
17:2	사도행전 9:19-20, 사도행전 13:13-14, 사도행전 14:1, 사도행전 18:4, 사도행전 18:19
17:3	시편 22:7, 시편 34:20, 시편 69:21, 시편 118:22, 이사야 50:6, 이사야 53:3, 이사야 53:5, 시편 16:10, 누가복음 24:45-46
17:4	사도행전 15:22, 사도행전 15:40
17:5	사도행전 13:45, 사도행전 19:29, 고린도 후서 6:4-5
17:6	사도행전 16:19-21
17:7	누가복음 23:1-2, 요한복음 19:12
17:13	사도행전 14:2, 사도행전 14:19
17:14	마태복음 10:23
17:15	사도행전 16:1-2, 데살로니가 전서 3:2
17:18	요한복음 5:28-29, 요한복음 11:25, 고린도 전서 15:12
17:22	사도행전 17:33-34, 사도행전 17:16
17:24	시편 146:6, 열왕기상 8:27
17:25	시편 50:12, 이사야 42:5
17:26	창세기 5:2, 창세기 1:28, 신명기 2:5, 신명기 2:19, 신명기 32:8, 시편 74:17
17:27	신명기 4:29, 시편 145:18, 이사야 55:6, 로마서 1:20
17:28	시편 36:9
17:29	창세기 1:27, 신명기 5:8, 이사야 37:19, 이사야 40:18-20, 이사야 46:5, 요한복음 4:24
17:30	사도행전 14:16, 에베소서 4:17-18
17:31	시편 96:13, 시편 98:9, 요한복음 5:22, 사도행전 10:42, 요한복음 11:25, 사도행전 2:24, 사도행전 13:32-33, 고린도 전서 15:3-8
17:32	고린도 전서 1:23
18:2	사도행전 18:24, 사도행전 18:26, 고린도 전서 16:19, 디모데 후서 4:19
18:3	사도행전 20:34, 고린도 전서 4:11-12, 고린도 전서 9:14-15, 데살로니가 전서 2:9, 데살로니가 후서 3:8, 데살로니가 후서 3:10
18:4	사도행전 17:2, 마태복음 4:23
18:5	사도행전 15:27, 사도행전 17:14, 사도행전 16:1-2, 데살로니가 전서 3:6, 사도행전 17:2-3, 사도행전 28:23
18:6	마태복음 10:14, 에스겔 3:18, 에스겔 33:4, 사도행전 20:26, 사도행전 13:46, 사도행전 28:28, 로마서 1:16
18:8	고린도 전서 1:14
18:10	예레미야 1:8, 예레미야 1:19, 마태복음 28:20
18:13	사도행전 24:5-6
18:15	사도행전 23:29, 사도행전 25:19
18:17	고린도 전서 1:1
18:18	로마서 16:1
18:19	사도행전 17:2
18:22	사도행전 8:40, 사도행전 15:36
18:23	사도행전 16:6, 갈라디아서 1:1-2, 사도행전 14:21-22, 사도행전 15:32
18:24	사도행전 19:1, 고린도 전서 1:12, 고린도 전서 3:5-6
