1:1	창세기 4:25
13:3	사무엘상 7:2, 사무엘상 14:18
13:5	민수기 34:2, 민수기 34:8, 사무엘상 6:21-7:1, 사무엘하 6:1-2, 역대기상 15:3
13:6	출애굽기 25:22, 민수기 7:89, 사무엘상 4:4, 사무엘하 6:2, 여호수아 15:9, 여호수아 15:12
13:7	출애굽기 37:5, 사무엘하 6:3-8
13:8	출애굽기 15:20, 역대기상 25:1, 역대기하 5:13
13:10	민수기 4:15, 레위기 10:1-2
13:12	사무엘하 6:9-11
13:14	창세기 30:27, 창세기 39:5
14:1	열왕기상 5:6, 열왕기상 5:8, 사무엘하 5:11-12
14:2	시편 89:20-21, 사무엘하 7:8
14:3	신명기 17:17, 사무엘하 5:13-16
14:4	역대기상 3:5-9, 누가복음 3:23, 누가복음 3:31, 열왕기상 1:47, 마태복음 1:6
14:8	역대기상 11:3, 사무엘하 5:17, 시편 2:2
14:9	사무엘하 5:18, 사무엘하 5:22, 사무엘하 23:13
14:10	사무엘하 5:19-21
14:11	이사야 28:21
14:12	신명기 7:25
14:13	사무엘하 5:22-25
14:14	여호수아 8:2, 시편 18:34
14:15	신명기 23:14, 사사기 4:14
14:16	창세기 6:22, 출애굽기 39:32, 여호수아 16:10
14:17	신명기 2:25, 신명기 11:25, 여호수아 2:9
15:1	사무엘하 7:1-2, 역대기상 16:1, 시편 132:1-5
15:2	민수기 4:15, 신명기 10:8
15:3	사무엘하 6:12, 역대기상 13:5
15:4	민수기 3:2-3, 역대기상 6:1
15:6	역대기상 6:29-30
15:7	역대기상 23:6-8
15:8	출애굽기 6:18, 출애굽기 6:22
15:10	출애굽기 6:16, 출애굽기 6:18
15:11	사무엘하 8:17, 사무엘상 22:20, 열왕기상 2:27, 열왕기상 2:35
15:13	사무엘하 6:3, 사무엘하 6:8, 민수기 4:15, 신명기 31:9
15:15	출애굽기 25:14, 민수기 4:6, 역대기하 5:9
15:16	시편 33:2, 역대기상 16:5, 역대기하 5:12-13
15:17	역대기상 6:31, 역대기상 6:33, 역대기상 25:5, 역대기상 6:31, 역대기상 6:39, 역대기상 25:1-2, 시편 83:0, 역대기상 6:31, 역대기상 6:44
15:18	역대기상 25:9
15:19	역대기상 6:31-33, 역대기상 25:1, 역대기상 13:8
15:20	시편 46:0
15:21	역대기상 16:4-5, 시편 6:0
15:22	역대기상 15:27
15:24	역대기상 16:4, 역대기상 16:6
15:25	역대기상 13:14, 사무엘하 6:4-5, 사무엘하 6:12
15:26	사무엘하 6:13
15:27	사무엘하 6:14-15
15:28	역대기상 13:8, 역대기상 16:4, 역대기상 16:6, 사무엘하 6:5
15:29	역대기상 17:1, 사무엘상 18:27, 사무엘하 3:13-14, 사무엘하 6:16
16:1	열왕기상 8:1, 역대기상 15:1, 사무엘하 6:17-19, 열왕기상 8:5
16:2	레위기 1:3, 레위기 3:1
16:4	민수기 18:2
16:5	역대기상 6:31, 역대기상 6:39, 역대기상 15:18, 역대기상 15:21, 역대기상 15:17, 역대기상 15:19
16:7	역대기상 6:31, 역대기상 6:39
16:8	시편 106:1, 시편 67:2, 시편 105:1-6, 이사야 12:4
16:9	사무엘하 23:1, 에베소서 5:19, 시편 107:43
16:10	레위기 22:32, 이사야 45:25, 예레미야 9:24, 역대기상 28:9, 빌립보서 4:4
16:11	아모스 5:4, 스바냐 2:3, 시편 24:5-6
16:12	시편 111:2-4
16:13	이사야 41:8, 시편 135:4
16:14	시편 95:7, 시편 105:7-11
16:15	신명기 7:9
16:16	창세기 15:18, 창세기 17:1-2, 창세기 26:3-5
16:17	창세기 28:14
16:18	창세기 12:7, 창세기 17:8, 창세기 35:12, 신명기 32:8
16:19	창세기 34:30, 신명기 26:5, 시편 105:12-15
16:20	창세기 20:1, 창세기 46:6
16:21	창세기 31:7, 창세기 31:42, 창세기 12:17, 창세기 20:3
16:22	창세기 20:7
16:23	시편 40:10, 시편 96:1-6
16:25	출애굽기 15:11
16:26	이사야 45:20, 고린도 전서 8:4, 이사야 44:24
16:27	신명기 33:26, 시편 8:1, 디모데 전서 1:11
16:28	시편 68:34, 시편 96:7-13
16:29	신명기 28:58, 느헤미야 9:5, 시편 148:13, 역대기상 29:3-5, 마태복음 5:23, 신명기 26:10
16:30	시편 104:5, 전도서 1:4
16:31	시편 97:1, 요한 계시록 19:6
16:34	역대기하 5:13, 누가복음 18:19, 시편 103:17, 예레미야 31:3, 예레미야 애가 3:22
16:35	시편 68:20, 시편 122:4, 이사야 43:21
16:37	역대기상 15:16-17, 출애굽기 29:38, 역대기하 13:11, 에스라 3:4, 역대기상 16:4-6
16:39	역대기상 12:28, 열왕기상 3:4
16:40	출애굽기 29:39, 역대기하 2:4
16:41	역대기상 25:1, 역대기하 5:13, 에스라 3:11, 역대기상 16:4
16:42	역대기상 6:31, 역대기상 6:33, 역대기상 15:16-17, 역대기상 25:1, 역대기상 25:3
17:1	열왕기상 1:8, 역대기상 29:29, 역대기상 14:1, 사무엘하 7:1-3, 역대기상 15:1, 역대기하 1:4
17:4	사무엘하 7:4-7, 열왕기상 8:17-19, 역대기상 22:7-8
17:5	출애굽기 40:2, 민수기 4:24-25, 사무엘하 6:17, 시편 78:60
17:7	사무엘상 16:11-12, 사무엘상 17:15, 사무엘상 25:30, 사무엘하 7:8-11, 시편 78:70-71
17:8	사무엘상 18:14, 사무엘하 8:6, 사무엘상 25:29, 사무엘상 26:10, 시편 89:20, 시편 89:22, 사무엘상 18:30
17:9	출애굽기 2:23
17:10	사사기 2:16, 시편 18:40
17:11	열왕기상 8:20, 시편 132:11, 사무엘하 7:12-17, 열왕기상 9:5, 역대기상 28:5, 예레미야 23:5
17:12	열왕기상 5:5, 역대기상 22:10, 시편 89:3-4, 이사야 9:7, 다니엘 2:44
17:13	사무엘하 7:14, 누가복음 9:35, 히브리서 1:5, 사무엘상 15:24, 사무엘상 15:28, 역대기상 10:13-14, 이사야 55:3
17:14	다니엘 2:44, 요한복음 1:49, 베드로 후서 1:11, 시편 89:36, 예레미야 33:20-21, 누가복음 1:32-33, 히브리서 1:8, 요한 계시록 3:21
17:16	사무엘하 7:8, 사무엘하 7:18-20
