1:1	출애굽기 40:34
14:34	창세기 17:8, 민수기 35:10, 신명기 7:12, 신명기 7:15
14:38	레위기 13:4, 레위기 13:50, 민수기 12:15
14:44	레위기 13:51
14:45	레위기 14:41
14:46	레위기 14:38, 레위기 11:23-25, 레위기 15:8, 레위기 17:15, 레위기 22:4-6
14:49	레위기 14:3-4, 민수기 19:6-7
14:51	레위기 14:6-7
14:54	레위기 13:30
14:55	레위기 13:47, 레위기 14:34
14:56	레위기 13:2
14:57	레위기 10:10, 에스겔 44:23, 신명기 24:8
15:2	레위기 22:4, 민수기 5:2
15:5	레위기 11:24-25, 레위기 14:46-47, 레위기 17:15, 레위기 22:6
15:11	레위기 15:2
15:12	레위기 11:32-33
15:13	레위기 14:8
15:14	레위기 1:14
15:16	레위기 22:4, 신명기 23:10-11
15:18	출애굽기 19:15, 사무엘상 21:5
15:19	레위기 12:2, 레위기 12:5, 레위기 20:18
15:20	레위기 15:4-6
15:23	레위기 15:10
15:24	레위기 18:19, 레위기 20:18
15:25	레위기 15:19, 마태복음 9:20, 누가복음 8:43
15:26	레위기 15:21
15:27	레위기 15:22
15:28	레위기 15:13
15:29	레위기 1:14, 레위기 15:14-15
15:30	레위기 12:7
15:31	레위기 19:30, 민수기 5:3, 민수기 19:20
15:32	레위기 15:16
15:33	레위기 15:19, 레위기 15:2, 레위기 15:25
16:1	레위기 10:1-2
16:2	출애굽기 40:21, 히브리서 6:19, 히브리서 9:3, 히브리서 9:7, 레위기 23:27, 민수기 4:19-20, 출애굽기 40:34, 출애굽기 25:22
16:3	레위기 4:3, 레위기 1:3
16:4	출애굽기 28:39, 출애굽기 28:42, 출애굽기 39:27, 출애굽기 39:29, 출애굽기 28:4, 출애굽기 28:2, 출애굽기 30:20, 히브리서 10:22
16:5	히브리서 7:27
16:6	히브리서 5:1-3
16:9	잠언 16:33
16:10	레위기 14:7, 레위기 14:53, 레위기 16:21-22, 이사야 53:4, 로마서 15:3
16:11	레위기 16:6
16:12	출애굽기 40:29, 레위기 6:13, 민수기 16:46, 히브리서 9:4, 출애굽기 30:34-36, 요한 계시록 5:8, 요한 계시록 8:3-5, 레위기 16:2, 히브리서 6:19, 히브리서 10:19-20
16:13	출애굽기 25:22, 열왕기하 19:15, 출애굽기 34:29, 출애굽기 25:18, 출애굽기 25:21, 역대기상 28:11
16:14	히브리서 9:22, 로마서 3:25, 히브리서 9:12, 히브리서 9:24-25, 히브리서 10:4, 히브리서 10:12
16:15	레위기 16:5, 히브리서 2:17, 히브리서 5:1-3, 히브리서 9:26, 요한 1서 2:1-2, 레위기 17:11, 히브리서 6:19, 히브리서 9:3, 히브리서 9:7, 히브리서 10:19-20
16:16	전도서 7:20
16:17	레위기 16:6, 마가복음 10:45, 히브리서 2:9, 히브리서 7:27, 히브리서 9:7, 히브리서 9:12, 요한 계시록 1:5
16:18	출애굽기 38:1
16:20	레위기 16:16, 히브리서 9:23, 레위기 16:8, 레위기 16:10
16:21	이사야 53:5-6, 고린도 후서 5:21
16:22	이사야 53:12, 에베소서 1:7, 히브리서 9:28, 베드로 전서 2:24, 요한 1서 3:5, 시편 103:12, 히브리서 13:12, 레위기 16:10
16:24	출애굽기 30:20, 출애굽기 28:4, 레위기 8:7, 레위기 16:3, 레위기 16:5, 에베소서 1:7
16:26	레위기 16:8, 레위기 16:21
16:27	레위기 4:11-12, 히브리서 13:11-12
16:29	레위기 23:27-28, 민수기 29:7
16:30	요한복음 3:16, 로마서 8:32, 디도서 2:13-14, 요한 1서 1:7, 요한 1서 3:16, 예레미야 33:8, 히브리서 9:13-14, 히브리서 10:2
16:31	레위기 23:32
16:32	민수기 20:26, 출애굽기 29:4, 출애굽기 29:7, 레위기 8:12, 레위기 8:33, 출애굽기 28:39, 출애굽기 39:27-28, 출애굽기 28:2, 출애굽기 29:29, 레위기 16:4
16:33	레위기 16:16, 레위기 16:20, 레위기 16:18, 레위기 16:24, 요한 1서 2:1-2
16:34	레위기 23:31, 민수기 29:7, 출애굽기 30:10, 히브리서 9:7
17:5	레위기 3:1-2, 레위기 7:11
17:6	레위기 3:3-5, 레위기 7:29-31
17:7	출애굽기 34:15, 신명기 31:16, 신명기 32:17, 여호수아 24:14
17:9	레위기 1:3, 신명기 12:5-6, 신명기 12:13-14
17:10	창세기 9:4, 레위기 3:17, 레위기 7:26, 레위기 19:26, 사무엘상 14:33, 사도행전 15:20, 사도행전 15:29
17:11	레위기 17:14, 신명기 12:23, 레위기 8:15, 레위기 16:18, 마태복음 26:28, 로마서 3:25, 로마서 5:9, 에베소서 1:7, 히브리서 9:22, 히브리서 13:12, 베드로 전서 1:2, 요한 1서 1:7, 요한 계시록 1:5
17:12	출애굽기 12:49, 신명기 12:23
17:13	신명기 12:16, 신명기 15:23
17:14	레위기 17:10-11
17:15	출애굽기 22:31, 신명기 14:21, 레위기 11:40
17:16	민수기 19:20
18:2	창세기 17:7, 출애굽기 6:7
18:3	출애굽기 23:24, 레위기 20:23
18:4	레위기 20:22, 신명기 4:1
18:5	누가복음 10:27-28, 로마서 10:5, 갈라디아서 3:12
18:6	레위기 20:17
18:8	창세기 35:22, 창세기 49:4, 레위기 20:11, 신명기 27:20, 사무엘하 16:21, 고린도 전서 5:1
18:9	레위기 20:17, 신명기 27:22, 사무엘하 13:10-12
18:12	레위기 20:19
18:14	레위기 20:20
18:15	레위기 20:12
18:16	레위기 20:21, 신명기 25:5, 마가복음 6:17-18
18:17	레위기 20:14, 신명기 27:23
18:18	창세기 30:15
18:19	레위기 15:19, 레위기 15:24, 레위기 20:18
