1:1	창세기 46:8
14:14	신명기 1:30, 신명기 20:4, 역대기하 20:29
14:17	출애굽기 9:15-16
14:18	출애굽기 14:4, 로마서 9:17-18
14:19	창세기 48:16, 출애굽기 32:34, 민수기 20:16, 유다서 1:9, 출애굽기 13:21
14:20	여호수아 24:6-7, 시편 105:39
14:21	출애굽기 14:16, 사도행전 7:36, 여호수아 2:9-10, 시편 66:6, 시편 106:9, 시편 114:3, 느헤미야 9:10-11, 시편 78:13, 시편 136:13, 이사야 63:12
14:22	고린도 전서 10:1, 히브리서 11:29, 출애굽기 15:8
14:23	출애굽기 14:17
14:24	출애굽기 13:21
14:25	출애굽기 14:4
14:27	출애굽기 15:1, 출애굽기 15:4
14:28	출애굽기 15:5, 출애굽기 15:10, 신명기 11:3-4, 여호수아 24:6-7, 느헤미야 9:10-11, 시편 78:53, 히브리서 11:29, 출애굽기 14:13, 시편 106:11, 시편 136:15
14:29	시편 77:19, 출애굽기 15:8
14:30	신명기 4:20, 시편 106:8-11
14:31	출애굽기 4:31, 출애굽기 19:9, 시편 106:12
15:1	사사기 5:1, 사무엘하 22:1, 요한 계시록 15:3, 출애굽기 9:16, 출애굽기 18:10-11, 시편 106:11-12, 출애굽기 15:21, 시편 136:15
15:2	이사야 12:2, 사무엘하 22:47, 이사야 25:1, 출애굽기 3:15, 시편 83:18, 시편 148:13
15:3	시편 24:8, 출애굽기 6:3, 이사야 42:8
15:4	출애굽기 14:27, 출애굽기 14:6-7
15:5	느헤미야 9:10-11
15:6	시편 60:5, 시편 89:13
15:7	이사야 37:23
15:9	출애굽기 14:5, 출애굽기 14:9
15:10	출애굽기 14:21, 출애굽기 14:28
15:11	신명기 3:24, 사무엘하 7:22, 이사야 6:3, 출애굽기 11:9
15:12	시편 78:53, 히브리서 11:29
15:13	시편 106:10
15:14	민수기 14:13-14
15:15	민수기 22:1, 민수기 22:3, 여호수아 2:9-11, 여호수아 5:1
15:16	신명기 11:25, 사무엘하 7:23, 이사야 43:1, 민수기 20:14, 민수기 20:17, 민수기 21:21-22
15:17	시편 80:8
15:18	시편 10:16
15:19	출애굽기 14:23, 출애굽기 14:28, 출애굽기 14:22
15:21	출애굽기 9:16, 출애굽기 18:11, 출애굽기 14:27-28, 시편 106:11-12
15:23	민수기 33:8
15:24	출애굽기 16:2-3, 출애굽기 17:3, 고린도 전서 10:6, 고린도 전서 10:10
15:25	출애굽기 17:4, 출애굽기 16:4, 신명기 8:2
15:26	신명기 28:1, 신명기 7:12, 신명기 7:15, 출애굽기 23:25, 시편 103:3
16:1	민수기 33:10-11
16:2	출애굽기 15:24, 고린도 전서 10:6, 고린도 전서 10:10
16:3	민수기 11:4, 민수기 14:2-3, 출애굽기 17:3, 민수기 16:13
16:4	시편 78:24-25, 시편 105:40, 요한복음 6:31-32, 요한복음 6:58, 고린도 전서 10:1, 고린도 전서 10:3, 마태복음 6:11, 신명기 8:2
16:5	출애굽기 35:2, 출애굽기 16:22
16:6	출애굽기 6:7, 민수기 16:28-29
16:8	민수기 21:7, 사무엘상 8:7
16:9	출애굽기 16:2, 민수기 11:1
16:10	출애굽기 13:21, 민수기 16:19, 마태복음 17:5
16:12	민수기 14:27, 시편 105:40, 출애굽기 4:5, 출애굽기 6:7
16:13	민수기 11:31, 민수기 11:34, 시편 78:27-29
16:14	민수기 11:7, 신명기 8:3, 느헤미야 9:15
16:15	민수기 21:5, 신명기 8:14, 신명기 8:16, 여호수아 5:11-12, 요한복음 6:31-32, 요한복음 6:58, 고린도 전서 10:1, 고린도 전서 10:3
16:16	출애굽기 16:36
16:18	고린도 후서 8:15
16:19	마태복음 6:11, 마태복음 6:34
16:22	출애굽기 16:5
16:23	출애굽기 20:8, 출애굽기 31:15, 출애굽기 35:2, 레위기 23:3, 민수기 11:7-8
16:26	출애굽기 20:9-10, 출애굽기 31:13, 신명기 5:15
16:28	민수기 14:11, 시편 78:10, 시편 106:13
16:29	출애굽기 31:13
16:30	레위기 23:3, 신명기 5:13-14
16:31	출애굽기 16:15, 민수기 11:7
16:32	시편 105:5, 시편 105:40
16:33	히브리서 9:4
16:34	출애굽기 27:21
16:35	여호수아 5:11-12, 신명기 8:2, 느헤미야 9:21, 시편 78:24, 민수기 33:48, 신명기 34:1
17:1	민수기 33:12, 민수기 33:2, 민수기 33:14
17:2	출애굽기 5:19, 출애굽기 5:21, 민수기 14:2-3, 민수기 20:3, 민수기 14:22, 시편 78:18, 시편 78:22, 시편 106:14
17:3	출애굽기 16:2-3
17:5	출애굽기 7:20
17:6	민수기 20:8, 신명기 8:14-15, 느헤미야 9:15, 시편 78:15, 시편 105:41, 고린도 전서 10:1, 고린도 전서 10:4
17:7	신명기 9:22, 시편 81:7, 신명기 6:16, 시편 95:8-9, 히브리서 3:8-9
17:8	창세기 36:12, 신명기 25:17, 사무엘상 15:2
17:9	민수기 11:28
17:10	여호수아 11:15, 출애굽기 24:13-14
17:13	여호수아 11:12
17:14	민수기 24:20, 신명기 25:19, 역대기상 4:42-43
17:16	요한 계시록 19:1, 사무엘상 15:20, 에스더 9:24
18:1	출애굽기 2:16, 출애굽기 2:21, 출애굽기 3:1, 여호수아 2:9-10, 여호수아 9:3, 여호수아 9:9
18:3	사도행전 7:29, 출애굽기 2:22
18:4	출애굽기 2:15
18:5	출애굽기 19:2, 열왕기상 19:8-9
18:6	출애굽기 4:18, 민수기 10:29
18:8	출애굽기 7:3, 출애굽기 14:27-28, 신명기 4:34, 출애굽기 15:22, 출애굽기 16:3
18:11	출애굽기 15:11, 시편 95:3, 시편 97:9
18:16	신명기 4:5, 신명기 5:1
18:19	여호수아 1:5, 여호수아 1:17, 출애굽기 20:19, 민수기 27:1-5
18:20	신명기 7:11
18:21	민수기 11:16-17, 신명기 1:13, 사도행전 6:3, 출애굽기 23:8, 디모데 전서 3:2-3, 디도서 1:7, 베드로 전서 5:2, 신명기 1:15, 사도행전 14:23
18:22	레위기 24:10-11, 민수기 15:32-33, 신명기 1:17, 민수기 11:17
18:26	사도행전 15:2
18:27	민수기 10:29
19:2	출애굽기 17:1, 출애굽기 3:1, 출애굽기 3:12
19:3	사도행전 7:38
19:4	신명기 32:11-12, 이사야 63:9, 신명기 4:34
19:5	열왕기상 8:53, 시편 135:4, 신명기 10:14
19:6	레위기 11:44, 신명기 7:6, 베드로 전서 2:9, 요한 계시록 5:9-10
19:7	출애굽기 24:3
19:8	출애굽기 24:7, 여호수아 24:24
19:13	히브리서 12:20, 출애굽기 20:18
19:14	출애굽기 19:10
19:16	신명기 4:11, 열왕기상 8:12, 시편 97:2, 히브리서 12:18-21
19:18	출애굽기 24:17, 신명기 4:11-12, 역대기하 7:1-3, 시편 68:8
19:20	출애굽기 24:12
19:22	레위기 10:1-2, 역대기상 13:10
19:23	출애굽기 19:12
19:24	민수기 16:19, 민수기 16:35
20:1	신명기 5:22, 사도행전 7:38
20:2	신명기 5:6, 호세아 13:4
20:3	신명기 5:7-10
20:4	레위기 26:1, 신명기 4:15-16, 이사야 40:25, 사도행전 17:29
